File Title: ,C:\Users\slank\Desktop\LOG01.LOG
File Name: ,C:\Users\slank\Desktop\LOG01.LOG
Start Time:,9/28/2017 3:56:30 PM
End Time:,10/15/2017 4:54:53 PM
Interval:,15
Records:,54663
Cyclic Flags:,2
Error Flags:,8208

Date/Time,Velocity (ft/s),Error #
9/28/2017 4:43:59 PM,1.73907744805063E-02,0
9/28/2017 4:44:15 PM,1.72943598402571E-02,0
9/28/2017 4:44:29 PM,1.72235649750014E-02,0
9/28/2017 4:44:44 PM,0.016500726842217,0
9/28/2017 4:44:59 PM,1.66491314589873E-02,0
9/28/2017 4:45:14 PM,1.75264020651579E-02,0
9/28/2017 4:45:29 PM,1.77419235115391E-02,0
9/28/2017 4:45:44 PM,1.80909327011274E-02,0
9/28/2017 4:46:00 PM,0.018367041830883,0
9/28/2017 4:46:14 PM,1.76543082723237E-02,0
9/28/2017 4:46:29 PM,1.78629098993022E-02,0
9/28/2017 4:46:44 PM,1.79179138601268E-02,0
9/28/2017 4:46:59 PM,1.69090673338378E-02,0
9/28/2017 4:47:14 PM,1.65710352718243E-02,0
9/28/2017 4:47:29 PM,0.01666129229576,0
9/28/2017 4:47:44 PM,1.63951841050002E-02,0
9/28/2017 4:47:59 PM,1.65683328830312E-02,0
9/28/2017 4:48:14 PM,1.70356783081833E-02,0
9/28/2017 4:48:29 PM,1.73242270087255E-02,0
9/28/2017 4:48:44 PM,1.77080500239374E-02,0
9/28/2017 4:49:00 PM,1.74867584338125E-02,0
9/28/2017 4:49:15 PM,1.70669805471705E-02,0
9/28/2017 4:49:30 PM,0.016989829730181,0
9/28/2017 4:49:44 PM,0.017218555880531,0
9/28/2017 4:49:59 PM,1.70796187134128E-02,0
9/28/2017 4:50:14 PM,1.71574071907885E-02,0
9/28/2017 4:50:29 PM,1.65609074870279E-02,0
9/28/2017 4:50:45 PM,3.35942293440262,0
9/28/2017 4:50:59 PM,3.07310884513294,0
9/28/2017 4:51:14 PM,2.19510057276107,0
9/28/2017 4:51:29 PM,0.491897020630393,0
9/28/2017 4:51:44 PM,0.634488025907073,0
9/28/2017 4:51:59 PM,0.313326101600792,0
9/28/2017 4:52:14 PM,0.335599232171205,0
9/28/2017 4:52:29 PM,0.313287053327488,0
9/28/2017 4:52:45 PM,0.17559176273908,0
9/28/2017 4:52:59 PM,0.191800395823358,0
9/28/2017 4:53:14 PM,0.174847394185547,0
9/28/2017 4:53:29 PM,0.133284409514817,0
9/28/2017 4:53:45 PM,9.64454274086688E-02,0
9/28/2017 4:53:59 PM,7.85405375321488E-02,0
9/28/2017 4:54:14 PM,5.89405897576998E-02,0
9/28/2017 4:54:29 PM,4.67217428104548E-02,0
9/28/2017 4:54:44 PM,3.69498855396655E-02,0
9/28/2017 4:54:59 PM,3.13744799329578E-02,0
9/28/2017 4:55:14 PM,2.65717259603093E-02,0
9/28/2017 4:55:30 PM,2.36596987347669E-02,0
9/28/2017 4:55:44 PM,2.09209435391057E-02,0
9/28/2017 4:55:59 PM,1.89875413385469E-02,0
9/28/2017 4:56:14 PM,1.76183548497846E-02,0
9/28/2017 4:56:29 PM,1.66029166752017E-02,0
9/28/2017 4:56:44 PM,1.59324243588893E-02,0
9/28/2017 4:56:59 PM,0.015093175621281,0
9/28/2017 4:57:15 PM,1.46979355575541E-02,0
9/28/2017 4:57:29 PM,1.41281218249726E-02,0
9/28/2017 4:57:44 PM,1.48916716236298E-02,0
9/28/2017 4:57:59 PM,1.46520385283834E-02,0
9/28/2017 4:58:14 PM,1.44713802158637E-02,0
9/28/2017 4:58:29 PM,1.47657352417969E-02,0
9/28/2017 4:58:45 PM,1.55651798968364E-02,0
9/28/2017 4:58:59 PM,1.58764815596132E-02,0
9/28/2017 4:59:14 PM,1.60270060530874E-02,0
9/28/2017 4:59:29 PM,1.57471729936097E-02,0
9/28/2017 4:59:44 PM,1.63848634691247E-02,0
9/28/2017 4:59:59 PM,1.59721450056995E-02,0
9/28/2017 5:00:15 PM,1.59932129006162E-02,0
9/28/2017 5:00:29 PM,1.63761629436308E-02,0
9/28/2017 5:00:44 PM,1.59207419902684E-02,0
9/28/2017 5:00:59 PM,1.53880388271773E-02,0
9/28/2017 5:01:14 PM,1.48369894060722E-02,0
9/28/2017 5:01:29 PM,1.49457023406987E-02,0
9/28/2017 5:01:44 PM,1.46536786027028E-02,0
9/28/2017 5:02:00 PM,1.47101826387708E-02,0
9/28/2017 5:02:14 PM,1.50338642267125E-02,0
9/28/2017 5:02:29 PM,1.58283846979409E-02,0
9/28/2017 5:02:44 PM,1.56646609450646E-02,0
9/28/2017 5:02:59 PM,3.16620847747997,0
9/28/2017 5:03:14 PM,3.19221850722435,0
9/28/2017 5:03:29 PM,2.16847397244851,0
9/28/2017 5:03:44 PM,0.649387959104965,0
9/28/2017 5:03:59 PM,0.628972170775678,0
9/28/2017 5:04:14 PM,0.239674847744963,0
9/28/2017 5:04:29 PM,0.32585926853986,0
9/28/2017 5:04:45 PM,0.35177242613743,0
9/28/2017 5:05:00 PM,0.369457112724532,0
9/28/2017 5:05:15 PM,0.391775933359967,0
9/28/2017 5:05:29 PM,0.40153642082148,0
9/28/2017 5:05:45 PM,0.255983714119697,0
9/28/2017 5:05:59 PM,0.320850061024805,0
9/28/2017 5:06:14 PM,0.453674169581193,0
9/28/2017 5:06:29 PM,0.422274644848828,0
9/28/2017 5:06:45 PM,0.425670918876674,0
9/28/2017 5:06:59 PM,0.405265277437743,0
9/28/2017 5:07:14 PM,0.389496111901413,0
9/28/2017 5:07:29 PM,6.22130076390017E-02,0
9/28/2017 5:07:44 PM,8.20418492686749E-02,0
9/28/2017 5:07:59 PM,0.113521962028298,0
9/28/2017 5:08:14 PM,0.133280495105808,0
9/28/2017 5:08:30 PM,9.75008681376344E-02,0
9/28/2017 5:08:44 PM,7.91759774818301E-02,0
9/28/2017 5:09:00 PM,5.86049148490359E-02,0
9/28/2017 5:09:14 PM,0.048661301429229,0
9/28/2017 5:09:29 PM,3.91429019067207E-02,0
9/28/2017 5:09:44 PM,3.19704168063696E-02,0
